symbol1,symbol2,p_value
C98USDT,MINAUSDT,1.260786327899016e-08
DOTUSDT,MLNUSDT,1.2706815598968559e-08
FLMUSDT,SXPUSDT,1.3347993377471065e-08
BELUSDT,PUNDIXUSDT,1.3353165563742725e-08
CVXUSDT,SANDUSDT,1.3664777801248325e-08
COMPUSDT,NEOUSDT,1.4333092920207944e-08
BELUSDT,ONTUSDT,1.470601052658128e-08
ALGOUSDT,RAREUSDT,1.5083578567854196e-08
C98USDT,MLNUSDT,1.5111932787980634e-08
ACAUSDT,CVXUSDT,1.6746578692923937e-08
NEOUSDT,TKOUSDT,1.7803679344136896e-08
CAKEUSDT,ZENUSDT,1.780420667854721e-08
CELRUSDT,RAREUSDT,1.9177134977906532e-08
MOVRUSDT,RAREUSDT,1.9208376515791263e-08
MINAUSDT,QTUMUSDT,1.9317505198950055e-08
OMNIUSDT,SSVUSDT,1.9352647530078947e-08
DASHUSDT,DCRUSDT,1.9414002860894272e-08
1INCHUSDT,DASHUSDT,2.1851765112978132e-08
BELUSDT,DIAUSDT,2.1979956923050093e-08
CELOUSDT,RADUSDT,2.214673920876068e-08
FLOWUSDT,XECUSDT,2.245815669267679e-08
ALGOUSDT,MLNUSDT,2.3234332137295552e-08
CAKEUSDT,FLMUSDT,2.3270514998732377e-08
NTRNUSDT,XAIUSDT,2.349466651597688e-08
MEMEUSDT,STRKUSDT,2.3685808732189612e-08
OGNUSDT,PONDUSDT,2.3849531449613848e-08
BARUSDT,PUNDIXUSDT,2.4715162975724435e-08
THETAUSDT,WANUSDT,2.4968762603293146e-08
OGNUSDT,PUNDIXUSDT,2.5139556176943756e-08
ACMUSDT,SNXUSDT,2.5780421739584523e-08
SXPUSDT,WANUSDT,2.6299266022912163e-08
DEGOUSDT,TLMUSDT,2.6685874766999234e-08
PONDUSDT,RVNUSDT,2.737574595656598e-08
RSRUSDT,UMAUSDT,2.8108082676024045e-08
DOTUSDT,XTZUSDT,3.107888569348924e-08
FLOWUSDT,PERPUSDT,3.192016538950284e-08
AIUSDT,NFPUSDT,3.3280386940329664e-08
DCRUSDT,JUVUSDT,3.3543757715848075e-08
